frame,input,p0,p1,p2,p3,p1_speed,p1_lap,p1_place,p1_engine_value,p1_engine_gate,p2_engine_value,p2_engine_gate,flags_f5,flags_f6,event67,event69,event6d,event6f
5986,0240,05,03,6A,0A,7011,0,19,066A,A781,0000,A7AC,01,01,00,00,00,00
5987,0240,05,0E,00,04,7011,0,19,066A,A781,0000,A7AC,01,01,00,00,00,00
5988,0240,05,03,6A,0A,7011,0,19,066A,A781,0000,A7AC,01,01,00,00,00,00
5989,0240,05,0E,03,04,7029,0,19,066E,A780,0003,A7AB,01,01,00,00,00,00
5990,0240,05,03,6E,0A,7029,0,19,066E,A780,0003,A7AB,01,01,00,00,00,00
5991,0240,05,0E,03,04,7029,0,19,066E,A780,0003,A7AB,01,01,00,00,00,00
5992,0240,05,03,72,0A,7046,0,19,0672,A77F,0003,A7AA,01,01,00,00,00,00
5993,0240,05,0E,03,04,7046,0,19,0672,A77F,0003,A7AA,01,01,00,00,00,00
5994,0240,05,03,72,0A,7046,0,19,0672,A77F,0003,A7AA,01,01,00,00,00,00
5995,0240,05,0E,03,04,7063,0,19,0676,A77E,0003,A7A9,01,01,00,00,00,00
5996,0240,05,03,76,0A,7063,0,19,0676,A77E,0003,A7A9,01,01,00,00,00,00
5997,0240,05,0E,03,04,7063,0,19,0676,A77E,0003,A7A9,01,01,00,00,00,00
5998,0240,05,03,7A,0A,7080,0,19,067A,A77D,0000,A7A9,01,01,00,00,00,00
5999,0240,05,0E,00,04,7080,0,19,067A,A77D,0000,A7A9,01,01,00,00,00,00
6000,0240,05,03,7A,0A,7080,0,19,067A,A77D,0000,A7A9,01,01,00,00,00,00
6001,0240,05,0E,00,04,7097,0,19,067E,A77C,0000,A7A9,01,01,00,00,00,00
6002,0240,05,03,7E,0A,7097,0,19,067E,A77C,0000,A7A9,01,01,00,00,00,00
6003,0240,05,0E,00,04,7097,0,19,067E,A77C,0000,A7A9,01,01,00,00,00,00
6004,0240,05,03,82,0A,7113,0,19,0682,A77B,0000,A7A9,01,01,00,00,00,00
6005,0240,05,0E,00,04,7113,0,19,0682,A77B,0000,A7A9,01,01,00,00,00,00
6006,0240,05,03,82,0A,7113,0,19,0682,A77B,0000,A7A9,01,01,00,00,00,00
6007,0240,05,0E,00,04,7129,0,19,0686,A77A,0000,A7A9,01,01,00,00,00,00
6008,0240,05,03,86,0A,7129,0,19,0686,A77A,0000,A7A9,01,01,00,00,00,00
6009,0240,05,0E,00,04,7129,0,19,0686,A77A,0000,A7A9,01,01,00,00,00,00
6010,0240,05,03,8A,0A,7145,0,19,068A,A779,0000,A7A9,01,81,00,00,00,00
6011,0240,05,0E,00,04,7145,0,19,068A,A779,0000,A7A9,01,81,00,00,00,00
6012,0240,05,03,8A,0A,7145,0,19,068A,A779,0000,A7A9,01,81,00,00,00,00
6013,0240,05,16,8A,0A,7161,0,19,068E,A778,0000,A7A9,01,01,00,00,00,00
6014,0240,05,03,8E,0A,7161,0,19,068E,A778,0000,A7A9,01,01,00,00,00,00
6015,0240,05,0E,00,04,7161,0,19,068E,A778,0000,A7A9,01,01,00,00,00,00
6016,0240,05,03,92,0A,7177,0,19,0692,A777,0000,A7A9,01,01,00,00,00,00
6017,0140,05,0E,00,04,7177,0,19,0692,A777,0000,A7A9,01,01,00,00,00,00
6018,0140,05,03,92,0A,7177,0,19,0692,A777,0000,A7A9,01,01,00,00,00,00
6019,0140,05,0E,00,04,7192,0,19,0694,A776,0000,A7A9,01,01,00,00,00,00
6020,0140,05,03,94,0A,7192,0,19,0694,A776,0000,A7A9,01,01,00,00,00,00
6021,0140,05,0E,00,04,7192,0,19,0694,A776,0000,A7A9,01,01,00,00,00,00
6022,0140,05,03,98,0A,7208,0,19,0698,A775,0000,A7A9,01,01,00,00,00,00
6023,0140,05,0E,00,04,7208,0,19,0698,A775,0000,A7A9,01,01,00,00,00,00
6024,0140,05,03,98,0A,7208,0,19,0698,A775,0000,A7A9,01,01,00,00,00,00
6026,0140,05,0E,03,04,7224,0,19,069C,A774,0003,A7A8,01,01,00,00,00,00
6027,0140,05,03,9C,0A,7224,0,19,069C,A774,0003,A7A8,01,01,00,00,00,00
6028,0140,05,0E,03,04,7240,0,19,06A0,A773,0003,A7A7,01,01,00,00,00,00
6029,0140,05,03,A0,0A,7240,0,19,06A0,A773,0003,A7A7,01,01,00,00,00,00
6030,0140,05,0E,03,04,7240,0,19,06A0,A773,0003,A7A7,01,01,00,00,00,00
6031,0140,05,03,A4,0A,7255,0,19,06A4,A772,0000,A7A7,01,01,00,00,00,00
6032,0140,05,0E,00,04,7255,0,19,06A4,A772,0000,A7A7,01,01,00,00,00,00
6033,0140,05,03,A4,0A,7255,0,19,06A4,A772,0000,A7A7,01,01,00,00,00,00
6034,0140,05,0E,00,04,7270,0,19,06A6,A771,0000,A7A7,01,01,00,00,00,00
6035,0240,05,03,A6,0A,7270,0,19,06A6,A771,0000,A7A7,01,01,00,00,00,00
6036,0240,05,0E,00,04,7270,0,19,06A6,A771,0000,A7A7,01,01,00,00,00,00
6037,0240,05,03,AA,0A,7285,0,19,06AA,A770,0003,A7A6,01,01,00,00,00,00
6038,0240,05,0E,03,04,7285,0,19,06AA,A770,0003,A7A6,01,01,00,00,00,00
6039,0240,05,03,AA,0A,7285,0,19,06AA,A770,0003,A7A6,01,01,00,00,00,00
6040,0240,05,0E,03,04,7300,0,19,06AE,A76F,0003,A7A5,01,01,00,00,00,00
6041,0140,05,03,AE,0A,7300,0,19,06AE,A76F,0003,A7A5,01,01,00,00,00,00
6042,0140,05,0E,03,04,7300,0,19,06AE,A76F,0003,A7A5,01,01,00,00,00,00
6043,0140,05,03,B2,0A,7315,0,19,06B2,A76E,0003,A7A4,01,01,00,00,00,00
6044,0140,05,0E,03,04,7315,0,19,06B2,A76E,0003,A7A4,01,01,00,00,00,00
6045,0140,05,03,B2,0A,7315,0,19,06B2,A76E,0003,A7A4,01,01,00,00,00,00
6046,0140,05,0E,00,04,7329,0,19,06B4,A76D,0000,A7A4,01,01,00,00,00,00
6047,0140,05,03,B4,0A,7329,0,19,06B4,A76D,0000,A7A4,01,01,00,00,00,00
6049,0140,05,0E,03,04,7343,0,19,06B8,A76C,0003,A7A3,01,00,00,FF,00,00
6050,0140,05,03,B8,0A,7343,0,19,06B8,A76C,0003,A7A3,01,00,00,FF,00,00
6051,0140,05,15,B8,0A,7343,0,19,06B8,A76C,0003,A7A3,01,00,00,FF,00,00
6052,0140,05,03,BC,0A,7357,0,19,06BC,A76B,0003,A7A2,01,00,00,00,00,00
6053,0240,05,0E,03,04,7357,0,19,06BC,A76B,0003,A7A2,01,00,00,00,00,00
6054,0240,05,03,BC,0A,7357,0,19,06BC,A76B,0003,A7A2,01,00,00,00,00,00
6055,0240,05,0E,00,04,7371,0,19,06BE,A76A,0000,A7A2,01,00,00,00,00,00
6056,0240,05,03,BE,0A,7371,0,19,06BE,A76A,0000,A7A2,01,00,00,00,00,00
6057,0240,05,0E,00,04,7371,0,19,06BE,A76A,0000,A7A2,01,00,00,00,00,00
6058,0240,05,03,C2,0A,7385,0,19,06C2,A769,0003,A7A1,01,00,00,00,00,00
6059,0240,05,0E,03,04,7385,0,19,06C2,A769,0003,A7A1,01,00,00,00,00,00
6060,0240,05,03,C2,0A,7385,0,19,06C2,A769,0003,A7A1,01,00,00,00,00,00
6061,0240,05,0E,03,04,7398,0,19,06C4,A768,0003,A7A0,01,00,00,00,00,00
6062,0240,05,03,C4,0A,7398,0,19,06C4,A768,0003,A7A0,01,00,00,00,00,00
6063,0240,05,0E,03,04,7398,0,19,06C4,A768,0003,A7A0,01,00,00,00,00,00
6064,0240,05,03,C8,0A,7411,0,19,06C8,A767,0003,A79F,01,00,00,00,00,00
6065,0240,05,0E,03,04,7411,0,19,06C8,A767,0003,A79F,01,00,00,00,00,00
6066,0240,05,03,C8,0A,7411,0,19,06C8,A767,0003,A79F,01,00,00,00,00,00
6067,0240,05,0E,00,04,7424,0,19,06CC,A766,0000,A79F,01,00,00,00,00,00
6068,0240,05,03,CC,0A,7424,0,19,06CC,A766,0000,A79F,01,00,00,00,00,00
6069,0240,05,0E,00,04,7424,0,19,06CC,A766,0000,A79F,01,00,00,00,00,00
6070,0240,05,03,CE,0A,7437,0,19,06CE,A765,0000,A79F,01,00,00,00,00,00
6071,0140,05,0E,00,04,7437,0,19,06CE,A765,0000,A79F,01,00,00,00,00,00
6072,0140,05,03,CE,0A,7437,0,19,06CE,A765,0000,A79F,01,00,00,00,00,00
6073,0140,05,0E,00,04,7450,0,19,06D2,A764,0000,A79F,01,00,00,00,00,00
6074,0140,05,03,D2,0A,7450,0,19,06D2,A764,0000,A79F,01,00,00,00,00,00
6075,0140,05,0E,00,04,7450,0,19,06D2,A764,0000,A79F,01,00,00,00,00,00
6076,0140,05,03,D4,0A,7464,0,19,06D4,A763,0000,A79F,01,00,00,00,00,00
6077,0140,05,0E,00,04,7464,0,19,06D4,A763,0000,A79F,01,00,00,00,00,00
6078,0140,05,03,D4,0A,7464,0,19,06D4,A763,0000,A79F,01,00,00,00,00,00
6079,0140,05,0E,00,04,7477,0,19,06D8,A762,0000,A79F,01,00,00,00,00,00
6080,0140,05,03,D8,0A,7477,0,19,06D8,A762,0000,A79F,01,00,00,00,00,00
6081,0140,05,0E,00,04,7477,0,19,06D8,A762,0000,A79F,01,00,00,00,00,00
6082,0140,05,0A,00,04,7490,0,19,06DA,A761,0000,A79F,00,00,FF,00,00,00
6083,0240,05,0E,00,04,7490,0,19,06DA,A761,0000,A79F,00,00,FF,00,00,00
6084,0240,05,03,DA,0A,7490,0,19,06DA,A761,0000,A79F,00,00,FF,00,00,00
6085,0240,05,0E,03,04,7503,0,19,06DE,A760,0003,A79E,00,00,00,00,00,00
6086,0240,05,03,DE,0A,7503,0,19,06DE,A760,0003,A79E,00,00,00,00,00,00
6087,0240,05,0E,03,04,7503,0,19,06DE,A760,0003,A79E,00,00,00,00,00,00
6088,0240,05,03,E0,0A,7516,0,19,06E0,A75F,0003,A79D,00,00,00,00,00,00
6089,0240,05,0E,03,04,7516,0,19,06E0,A75F,0003,A79D,00,00,00,00,00,00
6090,0240,05,03,E0,0A,7516,0,19,06E0,A75F,0003,A79D,00,00,00,00,00,00
6091,0240,05,0E,00,04,7529,0,19,06E4,A75E,0000,A79D,00,00,00,00,00,00
6092,0240,05,03,E4,0A,7529,0,19,06E4,A75E,0000,A79D,00,00,00,00,00,00
6093,0240,05,0E,00,04,7529,0,19,06E4,A75E,0000,A79D,00,00,00,00,00,00
6094,0240,05,03,E6,0A,7542,0,19,06E6,A75D,0000,A79D,00,00,00,00,00,00
6095,0240,05,0E,00,04,7542,0,19,06E6,A75D,0000,A79D,00,00,00,00,00,00
6096,0240,05,03,E6,0A,7542,0,19,06E6,A75D,0000,A79D,00,00,00,00,00,00
6097,0240,05,0E,03,04,7554,0,19,06EA,A75C,0003,A79C,00,00,00,00,00,00
6098,0240,05,03,EA,0A,7554,0,19,06EA,A75C,0003,A79C,00,00,00,00,00,00
6099,0240,05,0E,03,04,7554,0,19,06EA,A75C,0003,A79C,00,00,00,00,00,00
6100,0240,05,03,EC,0A,7566,0,19,06EC,A75B,0000,A79C,00,00,00,00,00,00
6101,0240,05,0E,00,04,7566,0,19,06EC,A75B,0000,A79C,00,00,00,00,00,00
6102,0240,05,03,EC,0A,7566,0,18,06EC,A75B,0000,A79C,00,00,00,00,00,00
6103,0240,05,0E,00,04,7578,0,18,06F0,A75A,0000,A79C,00,00,FF,00,00,00
6104,0240,05,03,F0,0A,7578,0,18,06F0,A75A,0000,A79C,00,00,FF,00,00,00
6105,0240,05,0E,00,04,7578,0,18,06F0,A75A,0000,A79C,00,00,FF,00,00,00
6106,0240,05,03,F2,0A,7590,0,18,06F2,A759,0003,A79B,00,00,00,00,00,00
6107,0240,05,0E,03,04,7590,0,18,06F2,A759,0003,A79B,00,00,00,00,00,00
6108,0240,05,03,F2,0A,7590,0,18,06F2,A759,0003,A79B,00,00,00,00,00,00
6109,0240,05,0E,00,04,7602,0,18,06F4,A758,0000,A79B,00,00,FF,00,00,00
6110,0240,05,0A,00,04,7602,0,18,06F4,A758,0000,A79B,00,00,FF,00,00,00
6111,0240,05,0E,00,04,7602,0,18,06F4,A758,0000,A79B,00,00,FF,00,00,00
6112,0240,05,03,F8,0A,7614,0,18,06F8,A757,0000,A79B,00,00,00,00,00,00
6113,0240,05,0E,00,04,7614,0,18,06F8,A757,0000,A79B,00,00,00,00,00,00
6114,0240,05,03,F8,0A,7614,0,18,06F8,A757,0000,A79B,00,00,00,00,00,00
6115,0240,05,0E,03,04,7626,0,18,06FA,A756,0003,A79A,00,00,FF,00,00,00
6116,0240,05,03,FA,0A,7626,0,18,06FA,A756,0003,A79A,00,00,FF,00,00,00
6117,0240,05,0E,03,04,7626,0,18,06FA,A756,0003,A79A,00,00,FF,00,00,00
6118,0240,05,03,FE,0A,7638,0,18,06FE,A755,0003,A799,00,00,00,00,00,00
6119,0240,05,0E,03,04,7638,0,18,06FE,A755,0003,A799,00,00,00,00,00,00
6120,0240,05,03,FE,0A,7638,0,18,06FE,A755,0003,A799,00,00,00,00,00,00
